1 2 3 A1+A2+A3 A3+A4 A1+A4+A5 A8+A9 A9 8
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


1 * 3 A1+A2+A3 A3+A4 A1+A4+A5 A8+A9 A9 8
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


1 B2 3 A1+A2+A3 A3+A4 A1+A4+A5 A8+A9 A9 8
0 A9+A1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


1 B2 3 A1+A2+A3 A3+A4 A1+A4+A5 A8+A9 A9 8
0 A9+A1+C5 0 0 0 0 0 0 0
0 0 0 0 A7+B2 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


1 B2 3 A1+A2+A3 A3+A4 A1+A4+A5 A8+A9 A9 8
0 A9+A1+C5 0 0 0 0 0 0 0
0 0 0 0 A7+B2 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 J9 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5


1 B2 3 A1+A2+A3 A3+A4 A1+A4+A5 A8+A9 A9 8
0 A9+A1+C5 0 0 0 0 0 0 0
0 0 0 H4 A7+B2 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 J9 0 0
0 0 0 * 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5


Michael's
=========
A2 A3 A4 A5 A6 A7 A8 A9 B1
B2 B3+B4 3 4 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


A2 A3 A4 A5 A6 A7 A8 A9 B1
B2 3 A2+A3+A4+A5+A6+A7+A8+A9+B1+B2 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


Mine's Again
============
A2 A3 A4 A5 A6 A7 A8 A9 B1
B2 3 A2+A3+A4+A5+A6+A7+A8+A9+B1+B2 0 0 0 0 0 0
0 A9+B1+B2 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


Problem!

A2 A3 A4 A5 A6 A7 A8 A9 B1
B2 3 A2+A3+A4+A5+A6+A7+A8+A9+B1+B2 0 0 0 0 0 0
0 A9+B1+B2 C3 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0


0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 C3 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
